"lat","lon","regency","name","description","exclude","notes","dataset"
3.350702649,98.38660128,"LANGKAT","Desa Bunga Rinte","",NA,"unsure about accuracy of location","prelim"
3.603262,116.609093,"MALINAU","RSUD Malinau","hospital",NA,"","prelim"
3.597861,116.622866,"MALINAU","Puskesmas Malinau Sebrang","public health centre",NA,"","prelim"
3.592141,116.62635,"MALINAU","Puskesmas Malinau Kota","public health centre",NA,"","prelim"
3.530097,116.507922,"MALINAU","Puskesmas Pulau Sapi","public health centre",NA,"","prelim"
3.298873,117.06388,"MALINAU","Puskesmas Sekatak","public health centre",NA,"","prelim"
1.071184,99.363358,"TAPANULI SELATAN","Puskesmas Batu Horpak","",NA,"grabbed coord from moh set","prelim"
2.833501,98.262177,"DAIRI","Puskesmas Kilometer 11","",NA,"grabbed coord from moh set","prelim"
1.79237,98.73394,"TAPANULI TENGAH","Puskesmas Poriaha","",NA,"grabbed coord from moh set","prelim"
3.4910888,98.3005518,"LANGKAT","Klinik Siti","private health centre",NA,"added 3/5/22","prelim"
3.3833027,98.3232233,"LANGKAT","Ujung Bandar","",NA,"added 3/5/22","prelim"
1.222581,99.347229,"TAPANULI SELATAN","37 PINTUPADANG","",NA,"","moh"
1.154777,99.446808,"TAPANULI SELATAN","38 SAYUR MATINGGI","",NA,"","moh"
1.071184,99.363358,"TAPANULI SELATAN","39 BATU HORPAK","",NA,"","moh"
1.480521,99.225487,"TAPANULI SELATAN","40 HURABA","",NA,"","moh"
1.450878,99.303993,"TAPANULI SELATAN","41 PARGARUTAN","",NA,"","moh"
1.356871,99.202553,"TAPANULI SELATAN","42 SIMARPINGGAN","",NA,"","moh"
1.418599,99.142609,"TAPANULI SELATAN","43 SITINJAK","",NA,"","moh"
1.3613994,99.0473404,"TAPANULI SELATAN","44 SANGKUNUR","",NA,"","moh"
1.482013,99.075737,"TAPANULI SELATAN","45 BATANG TORU","",NA,"","moh"
1.504428,99.143639,"TAPANULI SELATAN","46 MARANCAR UDIK","",NA,"","moh"
1.567549,99.289078,"TAPANULI SELATAN","47 HUTA RAJA","",NA,"","moh"
1.603536,99.278999,"TAPANULI SELATAN","48 DANAU MARSABUT","",NA,"","moh"
1.691446,99.322739,"TAPANULI SELATAN","49 HANOPAN","",NA,"","moh"
1.833051,99.35347,"TAPANULI SELATAN","50 SIPAGIMBAR","",NA,"","moh"
1.764084,99.329575,"TAPANULI SELATAN","51 SIMANGAMBAT","",NA,"","moh"
1.927305,99.471741,"TAPANULI SELATAN","52 BIRU","",NA,"","moh"
3.489569,98.178475,"LANGKAT","254 BAHOROK","",NA,"","moh"
3.557277,98.144531,"LANGKAT","255 BUKIT LAWANG","",NA,"","moh"
3.56196,98.298927,"LANGKAT","256 SERAPIT","",NA,"","moh"
3.475648,98.281967,"LANGKAT","257 TANJUNG LANGKAT","",NA,"","moh"
3.434279,98.336021,"LANGKAT","258 MARIKE","",NA,"","moh"
3.50363,98.468918,"LANGKAT","259 NAMU UKUR","",NA,"","moh"
3.508519,98.500938,"LANGKAT","260 NAMU TRASI","",NA,"","moh"
3.515629,98.377511,"LANGKAT","261 KUALA","",NA,"","moh"
3.612666,98.404694,"LANGKAT","262 SELESEI","",NA,"","moh"
3.667505,98.456383,"LANGKAT","263 SAMBI REJO","",NA,"","moh"
3.763438,98.456917,"LANGKAT","264 STABAT","",NA,"","moh"
3.707962,98.498955,"LANGKAT","265 KARANG REJO","",NA,"","moh"
3.454,98.1598,"LANGKAT","266 STABAT LAMA","",NA,"","moh"
3.1538,98.1417,"LANGKAT","267 SEI BAMBAM","",NA,"","moh"
3.808415,98.28199,"LANGKAT","268 SAWIT SEBERANG","",NA,"","moh"
3.836109,98.341118,"LANGKAT","269 TANJUNG SELAMAT","",NA,"","moh"
3.4706,98.2228,"LANGKAT","270 TANJUNG BERINGIN","",NA,"","moh"
3.809486,98.516861,"LANGKAT","271 DESA TELUK","",NA,"","moh"
3.854324,98.47963,"LANGKAT","272 HINAI KIRI","",NA,"","moh"
3.856171,98.538757,"LANGKAT","273 SECANGGANG","",NA,"","moh"
3.924317,98.466972,"LANGKAT","274 PANTAI CERMIN","",NA,"","moh"
3.0411,98.1237,"LANGKAT","275 GEBANG","",NA,"","moh"
4.020348,98.284157,"LANGKAT","276 PANGKALAN BRANDAN","",NA,"","moh"
