"obj","site1","site2","site3"
0.687300693366554,1,3,5
0.679385801254396,1,2,4
0.675584629104279,1,2,3
0.671200262812468,2,3,5
0.666436094442539,1,3,4
0.663732044971906,1,2,5
0.656774498984094,2,3,4
0.655719786984931,3,4,5
0.638993658705569,2,4,5
0.575300263934011,1,4,5
0.564958103209526,2,4,6
0.560094369491979,1,4,6
0.560094369491979,3,4,6
0.560094369491979,4,5,6
0.548202092166651,2,5,6
0.544571781891488,1,5,6
0.541677340804561,3,5,6
0.541654130145339,1,2,6
0.534592850836086,1,3,6
0.526470587185518,2,3,6
0.474599903901773,2,4,29
0.472993012579436,2,4,7
0.469025294772228,1,2,29
0.464391697847912,4,6,7
0.460934015801724,3,4,7
0.460712613703068,3,4,29
0.457756980425782,2,5,7
0.455848997404352,1,2,7
0.454748213158909,1,4,7
0.454748213158909,4,5,7
0.451870501972735,2,5,29
0.450858997511527,3,5,29
0.449666632481856,1,3,29
0.447778274109702,5,6,7
0.44743585253588,2,3,29
0.446613241125036,4,7,10
0.445764292031527,1,6,7
0.444591896593078,3,4,10
0.444591896593078,4,6,10
0.444074857758269,2,3,7
0.444074857758269,2,6,7
0.443896819138899,3,5,7
0.441857662284747,1,3,7
0.440110902721062,1,5,7
0.439476997031216,2,4,10
0.434299253087187,5,7,10
0.433133414190895,3,6,7
0.432898973702361,1,7,10
0.429353760895522,3,5,10
0.429285309015414,5,6,10
0.428993507025111,4,5,10
0.425088995148521,1,3,10
0.425038788111314,1,6,10
0.424063716289845,1,4,10
0.423999384434327,2,7,10
0.423999384434327,3,7,10
0.423999384434327,6,7,10
0.422907147775202,4,6,29
0.421933765735543,2,5,10
0.421084121446988,4,8,10
0.418929492367638,1,2,10
0.417333716080443,3,8,10
0.417333716080443,6,8,10
0.417333716080443,7,8,10
0.414744138190177,1,5,10
0.414446459611257,2,3,10
0.414442454819131,2,6,10
0.414442454819131,3,6,10
0.414380504462882,1,8,10
0.412629717908852,4,9,10
0.412524750527307,2,8,10
0.412524750527307,5,8,10
0.412161864327001,1,9,10
0.410786482578386,3,4,8
0.410786482578386,4,6,8
0.410786482578386,4,7,8
0.410411232888805,2,9,10
0.410411232888805,3,9,10
0.410411232888805,5,9,10
0.410411232888805,6,9,10
0.410411232888805,7,9,10
0.410411232888805,8,9,10
0.409693724192355,2,4,8
0.409549549740872,3,10,12
0.409549549740872,6,10,12
0.409549549740872,7,10,12
0.409549549740872,9,10,12
0.405672654773206,5,6,29
0.4052559314499,1,4,8
0.4052559314499,4,5,8
0.405005703356424,8,10,12
0.404840211627317,2,3,8
0.404840211627317,2,6,8
0.404840211627317,2,7,8
0.403321609745244,2,10,12
0.402473724119969,1,3,8
0.402473724119969,1,6,8
0.402473724119969,1,7,8
0.401347599540513,4,10,12
0.40134158705336,1,2,8
0.401084065497127,1,6,29
0.40021981320837,3,5,8
0.40021981320837,3,6,8
0.40021981320837,3,7,8
0.40021981320837,5,6,8
0.40021981320837,5,7,8
0.40021981320837,6,7,8
0.399792006178776,1,10,12
0.399451852237363,2,6,29
0.399082553349604,2,5,8
0.398803621067997,9,10,19
0.396733725795875,3,10,11
0.396733725795875,6,10,11
0.396733725795875,7,10,11
0.396733725795875,9,10,11
0.396705357753988,1,5,8
0.396249505267902,5,10,12
0.39566154664141,4,10,11
0.394109757365407,1,10,11
0.393911105355473,4,5,29
0.393538206186448,3,4,19
0.393538206186448,4,6,19
0.393538206186448,4,7,19
0.393151856391694,8,10,19
0.392416559922414,2,4,9
0.392392881846024,2,10,11
0.392392881846024,5,10,11
0.392392881846024,8,10,11
0.392392881846024,10,11,12
0.391399310120652,1,2,9
0.391007534199342,1,4,29
0.389445793466799,3,6,29
0.389337817305013,2,3,9
0.389337817305013,2,5,9
0.389337817305013,2,6,9
0.389337817305013,2,7,9
0.389186529966734,2,4,19
0.389186529966734,4,8,19
0.3884499226847,2,3,12
0.3884499226847,2,6,12
0.3884499226847,2,7,12
0.3884499226847,2,9,12
0.38807709980756,2,8,9
0.387449551002429,4,9,19
0.387338037665182,2,4,12
0.387104479669351,4,8,9
0.386493347597829,1,9,19
0.386441717448376,2,9,19
0.386441717448376,3,9,19
0.386441717448376,6,9,19
0.386441717448376,7,9,19
0.386441717448376,8,9,19
0.385958711796951,1,8,9
0.385745882128294,7,10,19
0.385707589860603,3,12,19
0.385707589860603,6,12,19
0.385707589860603,7,12,19
0.38539918044544,10,12,19
0.385384760082424,2,4,30
0.385318089396723,1,2,12
0.385047977914413,4,6,30
0.384868685995776,7,10,30
0.384860615878778,3,8,19
0.384860615878778,6,8,19
0.384860615878778,7,8,19
0.384744726210123,5,9,19
0.384013862566928,9,12,19
0.383875192267451,3,8,9
0.383875192267451,5,8,9
0.383875192267451,6,8,9
0.383875192267451,7,8,9
0.383427563162086,10,11,19
0.383009324360999,3,8,12
0.383009324360999,6,8,12
0.383009324360999,7,8,12
0.383009324360999,8,9,12
0.382753565623892,4,10,19
0.382732924225369,4,6,12
0.382699557863994,1,5,29
0.382663015014352,3,4,30
0.38215436272401,1,8,19
0.382004961047484,4,8,12
0.381995879083631,2,8,12
0.381951746560874,4,6,9
0.381650410514403,5,7,19
0.381329369178768,8,12,19
0.381240302469672,2,5,12
0.380649817507129,1,6,9
0.380558763487705,1,6,12
0.380509623463129,1,7,19
0.38041109037042,4,10,30
0.380341657574152,2,8,19
0.380341657574152,5,8,19
0.379877491073022,1,8,12
0.379813436043022,8,10,30
0.379754380852083,7,10,29
0.379748531528244,4,7,30
0.379721185837228,9,10,30
0.379656395171674,2,12,19
0.379654549245463,3,4,12
0.379516739490386,6,10,19
0.379473968853171,4,7,29
0.379449938451511,9,10,24
0.379396084748895,3,10,19
0.379161320835875,5,6,19
0.379040264301527,3,5,19
0.378892047981906,3,4,9
0.378492397515111,3,6,9
0.378492397515111,5,6,9
0.378492397515111,6,7,9
0.378391974853973,3,6,12
0.378391974853973,5,6,12
0.378391974853973,6,7,12
0.378214393376276,4,5,19
0.377769351216704,5,8,12
0.377627304762848,6,9,12
0.377502777054906,1,3,9
0.37742049021832,6,10,30
0.377397793543887,1,3,12
0.377303971230022,3,10,30
0.376486849975368,10,11,24
0.376398109765065,4,12,19
0.376148206244796,5,10,19
0.375713625497565,3,11,19
0.375713625497565,6,11,19
0.375713625497565,7,11,19
0.375545744088964,1,6,19
0.375411483903445,1,3,19
0.375314135805832,3,5,9
0.375314135805832,3,7,9
0.37519951521599,3,5,12
0.37519951521599,3,7,12
0.375124581502412,4,10,29
0.37511698340731,9,10,29
0.375018005569776,4,7,12
0.374978062626836,8,10,29
0.374495209730549,1,12,19
0.374455076704423,3,9,12
0.374343628274777,5,10,30
0.374290241392291,4,7,9
0.374069614155639,9,11,19
0.373404835211852,4,11,19
0.372779631090962,1,7,9
0.372721377589045,2,7,19
0.372721377589045,3,7,19
0.372721377589045,6,7,19
0.372684285969388,2,5,19
0.372654361321646,1,7,12
0.372545903430915,9,10,22
0.372422691195383,8,10,24
0.372260077148101,2,7,29
0.372195704916462,1,4,9
0.372195704916462,4,5,9
0.372195704916462,4,9,12
0.372182109638993,2,3,11
0.372182109638993,2,6,11
0.372182109638993,2,7,11
0.372182109638993,2,9,11
0.371886212140422,6,10,29
0.371825923702934,4,6,24
0.371745485233495,3,10,29
0.371564147525257,1,11,19
0.371515015608841,2,11,19
0.371515015608841,8,11,19
0.371452299986769,2,4,11
0.371322384502134,4,8,30
0.371262435691039,5,6,30
0.371087075504181,1,4,19
0.37096148096025,5,12,19
0.370767295735513,2,7,30
0.370675721201479,10,12,24
0.370625944072459,1,5,9
0.370561948719145,5,7,9
0.370529092797386,3,4,24
0.37046508864894,1,2,19
0.370426793075815,5,7,12
0.369964904948825,2,5,30
0.369852096107592,5,11,19
0.369852096107592,11,12,19
0.369782906446497,1,9,12
0.369770099787877,9,19,24
0.369719178856167,7,9,12
0.369697133152376,10,11,22
0.369370069729982,1,10,19
0.369294768912531,1,2,11
0.36927461067927,6,9,24
0.36927461067927,6,12,24
0.368990927866136,2,9,24
0.368990927866136,6,11,24
0.368990927866136,8,9,24
0.368625809100725,5,10,29
0.368572718921033,2,4,24
0.368572718921033,4,8,24
0.368562198937353,10,12,30
0.368550331328695,3,5,30
0.368250146383114,3,8,11
0.368250146383114,6,8,11
0.368250146383114,7,8,11
0.368250146383114,8,9,11
0.368111010775656,5,7,30
0.368002391487018,9,10,31
0.367968488085483,3,10,13
0.367968488085483,6,10,13
0.367968488085483,7,10,13
0.367968488085483,9,10,13
0.367953917652575,3,9,24
0.367953917652575,3,12,24
0.367935929396381,4,7,24
0.367847509350222,1,6,30
0.367672624263895,3,11,24
0.367589677414505,4,8,11
0.36755926623572,9,10,23
0.367552632794661,5,9,12
0.367436314650279,9,23,24
0.367387365248682,7,10,24
0.367312331350326,2,5,11
0.367312331350326,2,8,11
0.367312331350326,2,11,12
0.367286085648022,3,8,30
0.367286085648022,6,8,30
0.367286085648022,7,8,30
0.367210374849028,1,2,30
0.367170847855395,4,6,22
0.367086228573074,2,9,30
0.367061754256882,1,10,30
0.367037770326102,1,7,30
0.367025467929871,10,11,30
0.366970396725064,2,10,19
0.366757397964803,11,19,24
0.366751899162746,4,9,24
0.366553332211325,2,8,30
0.36628594587424,2,6,19
0.36628594587424,3,6,19
0.366172065178299,9,10,21
0.366116571570596,2,3,19
0.365981718109942,4,10,24
0.365976430716053,2,11,24
0.365976430716053,8,11,24
0.365976430716053,8,12,24
0.365976328066991,6,7,30
0.36592310036978,3,4,22
0.36578144749071,8,10,22
0.365745601485725,4,6,11
0.365688903426582,9,19,30
0.365354033738927,1,9,24
0.365352031997224,1,8,11
0.365318777039647,7,9,24
0.365318777039647,7,12,24
0.365311761111021,5,7,29
0.365280036313502,2,10,30
0.365092215376596,1,3,30
0.365042919787744,7,11,24
0.365021669743012,1,8,30
0.364863987745369,3,8,24
0.364863987745369,6,8,24
0.364863987745369,7,8,24
0.364848457328681,3,10,24
0.364848457328681,6,10,24
0.364843633185921,8,10,13
0.364843633185921,10,11,13
0.364805051278297,2,12,24
0.364669849982612,1,5,19
0.36450600955777,11,23,24
0.364375871148679,2,9,22
0.364375871148679,6,9,22
0.364375871148679,6,11,22
0.364375871148679,6,12,22
0.364375871148679,8,9,22
0.364322778631164,2,4,22
0.364322778631164,4,8,22
0.364240091775769,10,11,31
0.364136752156245,8,9,30
0.364112191507269,5,9,24
0.364112191507269,9,12,24
0.364112191507269,9,24,27
0.364112191507269,9,24,30
0.364082179947178,10,12,22
0.36403429772545,2,6,30
0.364006700724363,1,7,29
0.363951212723968,10,11,23
0.363870367000731,2,3,30
0.363838488718978,9,11,24
0.363817831247563,8,19,24
0.363627508558939,2,10,13
0.363606608587016,3,4,11
0.36347636116724,4,11,24
0.363455686217163,5,8,30
0.363453249032528,10,12,29
0.363447830348082,1,6,11
0.363438543589676,4,7,22
0.363411461164439,9,24,29
0.363378193340455,3,7,30
0.363364547778248,10,11,21
0.363347402770309,5,8,11
0.363347402770309,8,11,12
0.363230857367699,9,19,22
0.363230857367699,9,22,23
0.363194519051849,9,10,27
0.363108269346284,3,9,22
0.363108269346284,3,11,22
0.363108269346284,3,12,22
0.363070235654333,1,8,24
0.362963468112968,5,6,24
0.362715986937284,6,7,29
0.362692174800607,5,10,24
0.362412171798343,6,9,30
0.362410809197763,6,12,30
0.362298983332241,4,9,22
0.362136913555079,10,11,29
0.362040584424028,1,11,24
0.36182598148783,2,8,24
