"obj","site1","site2","site3","site4"
0.67338490826743,1,2,3,5
0.656774498984094,1,2,3,4
0.655719786984931,1,3,4,5
0.64743503295188,2,3,4,5
0.638993658705569,1,2,4,5
0.564958103209526,1,2,4,6
0.564958103209526,2,3,4,6
0.564958103209526,2,4,5,6
0.560094369491979,1,3,4,6
0.560094369491979,1,4,5,6
0.560094369491979,3,4,5,6
0.550851610538207,1,2,5,6
0.548202092166651,2,3,5,6
0.544571781891488,1,3,5,6
0.541654130145339,1,2,3,6
0.474599903901773,1,2,4,29
0.472993012579436,1,2,4,7
0.472993012579436,2,3,4,7
0.472993012579436,2,4,5,7
0.472993012579436,2,4,6,7
0.468597755085007,2,3,4,29
0.464391697847912,1,4,6,7
0.464391697847912,3,4,6,7
0.464391697847912,4,5,6,7
0.460934015801724,1,3,4,7
0.460934015801724,3,4,5,7
0.460712613703068,1,3,4,29
0.460331579583675,1,2,5,7
0.460104129044339,2,3,5,29
0.459510205680966,2,4,5,29
0.459137289420829,1,2,3,29
0.457756980425782,2,3,5,7
0.457756980425782,2,5,6,7
0.45702173296453,3,4,5,29
0.456220655767247,1,2,5,29
0.455848997404352,1,2,3,7
0.455848997404352,1,2,6,7
0.454748213158909,1,4,5,7
0.453263965629559,1,3,5,29
0.450556248106474,1,5,6,7
0.447778274109702,3,5,6,7
0.446733410545388,1,3,5,7
0.446613241125036,1,4,7,10
0.446613241125036,2,4,7,10
0.446613241125036,3,4,7,10
0.446613241125036,4,5,7,10
0.446613241125036,4,6,7,10
0.445764292031527,1,3,6,7
0.444591896593078,1,3,4,10
0.444591896593078,1,4,6,10
0.444591896593078,2,3,4,10
0.444591896593078,2,4,6,10
0.444591896593078,3,4,5,10
0.444591896593078,3,4,6,10
0.444591896593078,4,5,6,10
0.444074857758269,2,3,6,7
0.439476997031216,1,2,4,10
0.439476997031216,2,4,5,10
0.436291940191872,1,5,7,10
0.434299253087187,2,5,7,10
0.434299253087187,3,5,7,10
0.434299253087187,5,6,7,10
0.432898973702361,1,2,7,10
0.432898973702361,1,3,7,10
0.432898973702361,1,6,7,10
0.431393736110621,1,3,5,10
0.431316786285104,1,5,6,10
0.430983293871688,2,4,6,29
0.429353760895522,2,3,5,10
0.429285309015414,2,5,6,10
0.429285309015414,3,5,6,10
0.428993507025111,1,4,5,10
0.425976827611094,1,2,5,10
0.42570249854094,3,4,8,10
0.42570249854094,4,6,8,10
0.42570249854094,4,7,8,10
0.425088995148521,1,2,3,10
0.425038788111314,1,2,6,10
0.425038788111314,1,3,6,10
0.423999384434327,2,3,7,10
0.423999384434327,2,6,7,10
0.423999384434327,3,6,7,10
0.422907147775202,1,4,6,29
0.422907147775202,3,4,6,29
0.422907147775202,4,5,6,29
0.421084121446988,1,4,8,10
0.421084121446988,2,4,8,10
0.421084121446988,4,5,8,10
0.419164224866439,1,3,8,10
0.419164224866439,1,6,8,10
0.419164224866439,1,7,8,10
0.417333716080443,2,3,8,10
0.417333716080443,2,6,8,10
0.417333716080443,2,7,8,10
0.417333716080443,3,5,8,10
0.417333716080443,3,6,8,10
0.417333716080443,3,7,8,10
0.417333716080443,5,6,8,10
0.417333716080443,5,7,8,10
0.417333716080443,6,7,8,10
0.415181122317072,2,3,4,8
0.415181122317072,2,4,6,8
0.415181122317072,2,4,7,8
0.414818748431444,2,5,6,29
0.414442454819131,2,3,6,10
0.414380504462882,1,2,8,10
0.414380504462882,1,5,8,10
0.412629717908852,1,4,9,10
0.412629717908852,2,4,9,10
0.412629717908852,3,4,9,10
0.412629717908852,3,4,10,12
0.412629717908852,4,5,9,10
0.412629717908852,4,6,9,10
0.412629717908852,4,6,10,12
0.412629717908852,4,7,9,10
0.412629717908852,4,7,10,12
0.412629717908852,4,8,9,10
0.412629717908852,4,9,10,12
0.412524750527307,2,5,8,10
0.412161864327001,1,2,9,10
0.412161864327001,1,3,9,10
0.412161864327001,1,5,9,10
0.412161864327001,1,6,9,10
0.412161864327001,1,7,9,10
0.412161864327001,1,8,9,10
0.41129701766202,1,3,10,12
0.41129701766202,1,6,10,12
0.41129701766202,1,7,10,12
0.41129701766202,1,9,10,12
0.410786482578386,1,3,4,8
0.410786482578386,1,4,6,8
0.410786482578386,1,4,7,8
0.410786482578386,3,4,5,8
0.410786482578386,3,4,6,8
0.410786482578386,3,4,7,8
0.410786482578386,4,5,6,8
0.410786482578386,4,5,7,8
0.410786482578386,4,6,7,8
