"50mins","60mins","70mins","80mins","90mins","100mins","110mins","120mins","130mins","140mins","150mins","name"
3,6,12,23,37,56,104,153,212,275,334,"Desa Bunga Rinte"
47,73,119,158,207,260,322,384,451,533,632,"Klinik Siti"
2,2,4,9,21,32,51,75,104,152,208,"Ujung Bandar"
24,35,46,60,81,118,158,203,255,308,361,"Bahorok"
23,32,41,53,66,81,106,148,182,230,272,"Bukit Lawang"
38,59,81,129,168,220,269,325,387,457,534,"Serapit"
42,66,97,140,183,237,290,343,414,489,578,"Tanjung Langkat"
1,7,12,29,42,66,110,145,198,245,305,"Marike"
87,136,189,252,319,389,470,568,667,773,863,"Namu Ukur"
111,160,232,291,361,445,539,642,750,848,926,"Namu Trasi"
20,41,75,118,166,224,277,334,407,482,572,"Kuala"
114,160,214,282,349,419,508,609,709,813,911,"Selesei"
136,189,245,309,386,479,584,686,798,884,969,"Sambi Rejo"
167,220,283,356,427,525,630,725,835,927,1016,"Stabat"
162,216,276,347,427,522,629,731,834,931,1010,"Karang Rejo"
20,25,36,48,61,83,121,162,206,259,314,"Stabat Lama"
38,55,76,104,156,199,250,304,361,421,502,"Sei Bambam"
42,68,101,156,198,249,306,365,443,523,608,"Sawit Seberang"
60,109,156,210,266,324,393,464,555,652,745,"Tanjung Selamat"
31,42,55,78,119,156,208,256,317,375,439,"Tanjung Beringin"
67,111,156,207,264,323,401,500,590,692,804,"Desa Teluk"
91,136,185,240,301,371,447,544,634,733,844,"Hinai Kiri"
50,85,131,172,228,286,348,431,523,620,713,"Secanggang"
70,118,168,218,280,349,422,501,590,698,794,"Pantai Cermin"
148,197,262,322,399,468,561,661,760,875,974,"Gebang"
118,178,234,297,355,418,496,586,681,790,901,"Pangkalan Brandan"
67,109,159,214,279,336,405,481,565,655,760,"Securai"
12,18,31,46,65,96,124,163,210,267,325,"Desa Lama"
105,160,222,278,338,405,471,544,643,750,854,"Tangkahan Durian"
104,154,215,272,320,381,451,530,624,709,824,"Besitang"
24,43,72,115,176,232,290,344,410,480,555,"Pangkalan Susu"
