"50mins","60mins","70mins","80mins","90mins","100mins","110mins","120mins","130mins","140mins","150mins","name"
64,94,118,155,183,215,255,288,329,357,384,"RSUD Malinau"
70,100,123,163,191,224,267,295,333,360,392,"Malinau Kota"
31,51,76,103,127,166,198,228,269,297,336,"Pulau Sapi"
68,99,128,164,194,226,271,316,376,426,494,"Sekatak"
16,19,26,31,42,48,56,70,77,85,96,"Sungaiboh"
10,15,25,31,41,46,61,70,86,90,102,"Longampung"
7,7,7,8,11,14,17,18,24,28,35,"Longnawang"
3,6,11,13,16,18,21,28,30,39,45,"Longalango"
5,6,7,9,12,16,17,22,25,26,30,"Longloreh"
17,28,45,69,99,120,151,182,211,254,285,"Setulang"
0,1,1,1,1,1,1,1,1,2,2,"Longberang"
56,83,109,140,173,202,245,277,316,349,375,"Tanjunglapang"
56,85,108,142,173,203,247,278,319,352,375,"Sesua"
0,0,0,0,0,1,1,1,1,1,1,"Longsule"
11,12,14,19,29,43,58,83,109,130,164,"Sehati"
